iter	Passed	Remaining
0	137	137329
1	138	69071
2	139	46492
3	140	35023
4	141	28197
5	142	23585
6	143	20288
7	143	17822
8	144	15899
9	144	14354
10	145	13099
11	146	12051
12	146	11155
13	147	10386
14	148	9719
15	148	9135
16	149	8629
17	149	8176
18	150	7768
19	151	7400
20	151	7086
21	152	6795
22	153	6520
23	154	6265
24	154	6030
25	155	5813
26	155	5612
27	156	5426
28	156	5253
29	157	5092
30	158	4941
31	158	4799
32	159	4668
33	159	4542
34	160	4424
35	161	4313
36	161	4206
37	162	4119
38	163	4022
39	163	3931
40	164	3844
41	165	3763
42	165	3687
43	167	3629
44	167	3561
45	168	3497
46	169	3433
47	170	3374
48	170	3314
49	171	3255
50	171	3199
51	172	3144
52	173	3092
53	173	3044
54	174	2998
55	175	2954
56	175	2910
57	176	2867
58	177	2825
59	177	2785
60	178	2749
61	179	2713
62	180	2680
63	181	2650
64	181	2616
65	182	2583
66	183	2552
67	183	2520
68	184	2490
69	185	2461
70	186	2433
71	186	2406
72	187	2379
73	188	2353
74	188	2327
75	189	2302
76	190	2280
77	190	2257
78	191	2235
79	192	2213
80	193	2191
81	193	2170
82	194	2145
83	196	2138
84	197	2125
85	198	2111
86	199	2092
87	200	2073
88	200	2054
89	201	2036
90	202	2020
91	202	2002
92	203	1985
93	204	1968
94	204	1952
95	205	1936
96	206	1920
97	206	1904
98	207	1889
99	208	1873
100	208	1859
101	210	1851
102	211	1838
103	211	1825
104	212	1811
105	213	1798
106	213	1784
107	214	1772
108	215	1759
109	215	1747
110	216	1737
111	217	1724
112	218	1712
113	218	1701
114	219	1689
115	220	1677
116	220	1665
117	221	1653
118	221	1642
119	222	1631
120	223	1620
121	223	1608
122	224	1598
123	224	1588
124	225	1579
125	226	1570
126	227	1561
127	227	1552
128	228	1542
129	229	1533
130	229	1524
131	230	1515
132	231	1506
133	231	1497
134	232	1489
135	233	1481
136	233	1472
137	234	1464
138	235	1455
139	235	1447
140	236	1439
141	236	1430
142	237	1422
143	237	1414
144	238	1406
145	239	1398
146	239	1391
147	240	1383
148	241	1378
149	242	1371
150	242	1364
151	243	1358
152	244	1351
153	244	1344
154	245	1338
155	246	1332
156	246	1325
157	247	1318
158	248	1312
159	248	1306
160	249	1299
161	249	1292
162	250	1286
163	251	1280
164	251	1274
165	252	1268
166	253	1262
167	253	1256
168	254	1250
169	255	1245
170	255	1240
171	256	1235
172	257	1229
173	258	1224
174	258	1219
175	259	1214
176	260	1209
177	260	1204
178	261	1199
179	262	1194
180	262	1189
181	263	1184
182	264	1179
183	264	1175
184	265	1170
185	266	1165
186	266	1160
187	267	1156
188	268	1151
189	269	1147
190	269	1142
191	270	1138
192	271	1133
193	271	1129
194	272	1125
195	273	1121
196	273	1116
197	274	1112
198	275	1108
199	275	1103
200	276	1099
201	277	1095
202	277	1090
203	278	1086
204	279	1082
205	279	1078
206	280	1074
207	281	1070
208	281	1066
209	282	1062
210	283	1058
211	283	1054
212	284	1050
213	284	1046
214	285	1043
215	286	1040
216	287	1037
217	288	1033
218	288	1029
219	289	1025
220	289	1022
221	290	1018
222	291	1015
223	291	1011
224	292	1007
225	293	1004
226	293	1000
227	294	997
228	295	993
229	295	990
230	296	986
231	297	983
232	297	979
233	298	976
234	298	972
235	299	969
236	300	965
237	300	962
238	301	959
239	302	956
240	302	953
241	303	950
242	304	947
243	304	944
244	305	941
245	306	938
246	306	935
247	307	932
248	308	929
